"","State","Year","Deaths","Population","Deaths Per 100,000","Prescriptions Per Million","Number of Prescriptions"
"596","Rhode Island",2000,"61",1048319,"5.8",126,1.26e+08
"597","Rhode Island",2001,"86",1057142,"8.1",138,1.38e+08
"598","Rhode Island",2002,"77",1065995,"7.2",142,1.42e+08
"599","Rhode Island",2003,"108",1071342,"10.1",149,1.49e+08
"600","Rhode Island",2004,"80",1074579,"7.4",155,1.55e+08
"601","Rhode Island",2005,"122",1067916,"11.4",163,1.63e+08
"602","Rhode Island",2006,"132",1063096,"12.4",174,1.74e+08
"603","Rhode Island",2007,"89",1057315,"8.4",184,1.84e+08
"604","Rhode Island",2008,"133",1055003,"12.6",196,1.96e+08
"605","Rhode Island",2009,"117",1053646,"11.1",202,2.02e+08
"606","Rhode Island",2010,"112",1052567,"10.6",210,2.1e+08
"607","Rhode Island",2011,"145",1051302,"13.8",219,2.19e+08
"608","Rhode Island",2012,"143",1050292,"13.6",217,2.17e+08
"609","Rhode Island",2013,"195",1051511,"18.5",207,2.07e+08
"610","Rhode Island",2014,"211",1055173,"20",196,1.96e+08
"611","South Carolina",1999,"50",3974682,"1.3",116,1.16e+08
"612","South Carolina",2000,"90",4012012,"2.2",126,1.26e+08
"613","South Carolina",2001,"89",4064995,"2.2",138,1.38e+08
"614","South Carolina",2002,"85",4107795,"2.1",142,1.42e+08
"615","South Carolina",2003,"95",4150297,"2.3",149,1.49e+08
"616","South Carolina",2004,"134",4210921,"3.2",155,1.55e+08
"617","South Carolina",2005,"154",4270150,"3.6",163,1.63e+08
"618","South Carolina",2006,"234",4357847,"5.4",174,1.74e+08
"619","South Carolina",2007,"206",4444110,"4.6",184,1.84e+08
"620","South Carolina",2008,"228",4528996,"5",196,1.96e+08
"621","South Carolina",2009,"248",4589872,"5.4",202,2.02e+08
"622","South Carolina",2010,"278",4625364,"6",210,2.1e+08
"623","South Carolina",2011,"249",4679230,"5.3",219,2.19e+08
"624","South Carolina",2012,"245",4723723,"5.2",217,2.17e+08
"625","South Carolina",2013,"250",4774839,"5.2",207,2.07e+08
"626","South Carolina",2014,"530",4832482,"11",196,1.96e+08
"627","South Dakota",2004,"21",770396,"2.7",155,1.55e+08
"628","South Dakota",2005,"22",775493,"2.8",163,1.63e+08
"629","South Dakota",2006,"24",783033,"3.1",174,1.74e+08
"630","South Dakota",2007,"21",791623,"2.7",184,1.84e+08
"631","South Dakota",2008,"32",799124,"4",196,1.96e+08
"632","South Dakota",2009,"35",807067,"4.3",202,2.02e+08
"633","South Dakota",2010,"33",814180,"4.1",210,2.1e+08
"634","South Dakota",2011,"35",824082,"4.2",219,2.19e+08
"635","South Dakota",2012,"26",833354,"3.1",217,2.17e+08
"636","South Dakota",2013,"34",844877,"4",207,2.07e+08
"637","South Dakota",2014,"33",853175,"3.9",196,1.96e+08
"638","Tennessee",1999,"91",5638706,"1.6",116,1.16e+08
"639","Tennessee",2000,"103",5689283,"1.8",126,1.26e+08
"640","Tennessee",2001,"145",5750789,"2.5",138,1.38e+08
"641","Tennessee",2002,"179",5795918,"3.1",142,1.42e+08
"642","Tennessee",2003,"312",5847812,"5.3",149,1.49e+08
"643","Tennessee",2004,"403",5910809,"6.8",155,1.55e+08
"644","Tennessee",2005,"466",5991057,"7.8",163,1.63e+08
"645","Tennessee",2006,"483",6088766,"7.9",174,1.74e+08
"646","Tennessee",2007,"494",6175727,"8",184,1.84e+08
"647","Tennessee",2008,"499",6247411,"8",196,1.96e+08
"648","Tennessee",2009,"548",6306019,"8.7",202,2.02e+08
"649","Tennessee",2010,"652",6346105,"10.3",210,2.1e+08
"650","Tennessee",2011,"663",6403353,"10.4",219,2.19e+08
"651","Tennessee",2012,"748",6456243,"11.6",217,2.17e+08
"652","Tennessee",2013,"789",6495978,"12.1",207,2.07e+08
"653","Tennessee",2014,"892",6549352,"13.6",196,1.96e+08
"654","Texas",1999,"379",20558220,"1.8",116,1.16e+08
"655","Texas",2000,"457",20851820,"2.2",126,1.26e+08
"656","Texas",2001,"602",21319622,"2.8",138,1.38e+08
"657","Texas",2002,"788",21690325,"3.6",142,1.42e+08
"658","Texas",2003,"825",22030931,"3.7",149,1.49e+08
"659","Texas",2004,"836",22394023,"3.7",155,1.55e+08
"660","Texas",2005,"908",22778123,"4",163,1.63e+08
"661","Texas",2006,"1107",23359580,"4.7",174,1.74e+08
"662","Texas",2007,"1064",23831983,"4.5",184,1.84e+08
"663","Texas",2008,"986",24309039,"4.1",196,1.96e+08
"664","Texas",2009,"1197",24801761,"4.8",202,2.02e+08
"665","Texas",2010,"1171",25145561,"4.7",210,2.1e+08
"666","Texas",2011,"1218",25674681,"4.7",219,2.19e+08
"667","Texas",2012,"1179",26059203,"4.5",217,2.17e+08
"668","Texas",2013,"1114",26448193,"4.2",207,2.07e+08
"669","Texas",2014,"1219",26956958,"4.5",196,1.96e+08
"670","Utah",1999,"145",2203482,"6.6",116,1.16e+08
"671","Utah",2000,"159",2233169,"7.1",126,1.26e+08
"672","Utah",2001,"167",2283715,"7.3",138,1.38e+08
"673","Utah",2002,"213",2324815,"9.2",142,1.42e+08
"674","Utah",2003,"272",2360137,"11.5",149,1.49e+08
"675","Utah",2004,"275",2401580,"11.5",155,1.55e+08
"676","Utah",2005,"345",2457719,"14",163,1.63e+08
"677","Utah",2006,"343",2525507,"13.6",174,1.74e+08
"678","Utah",2007,"382",2597746,"14.7",184,1.84e+08
"679","Utah",2008,"371",2663029,"13.9",196,1.96e+08
"680","Utah",2009,"393",2723421,"14.4",202,2.02e+08
"681","Utah",2010,"353",2763885,"12.8",210,2.1e+08
"682","Utah",2011,"394",2817222,"14",219,2.19e+08
"683","Utah",2012,"438",2855287,"15.3",217,2.17e+08
"684","Utah",2013,"444",2900872,"15.3",207,2.07e+08
"685","Utah",2014,"471",2942902,"16",196,1.96e+08
"686","Vermont",2000,"24",608827,"3.9",126,1.26e+08
"687","Vermont",2001,"39",612223,"6.4",138,1.38e+08
"688","Vermont",2002,"41",615442,"6.7",142,1.42e+08
"689","Vermont",2003,"50",617858,"8.1",149,1.49e+08
"690","Vermont",2004,"41",619920,"6.6",155,1.55e+08
"691","Vermont",2005,"46",621215,"7.4",163,1.63e+08
"692","Vermont",2006,"59",622892,"9.5",174,1.74e+08
"693","Vermont",2007,"54",623481,"8.7",184,1.84e+08
"694","Vermont",2008,"59",624151,"9.5",196,1.96e+08
"695","Vermont",2009,"46",624817,"7.4",202,2.02e+08
"696","Vermont",2010,"45",625741,"7.2",210,2.1e+08
"697","Vermont",2011,"60",626431,"9.6",219,2.19e+08
"698","Vermont",2012,"57",626011,"9.1",217,2.17e+08
"699","Vermont",2013,"75",626630,"12",207,2.07e+08
"700","Vermont",2014,"72",626562,"11.5",196,1.96e+08
"701","Virginia",1999,"210",7000174,"3",116,1.16e+08
"702","Virginia",2000,"260",7078515,"3.7",126,1.26e+08
"703","Virginia",2001,"326",7198362,"4.5",138,1.38e+08
"704","Virginia",2002,"361",7286873,"5",142,1.42e+08
"705","Virginia",2003,"374",7366977,"5.1",149,1.49e+08
"706","Virginia",2004,"399",7475575,"5.3",155,1.55e+08
"707","Virginia",2005,"385",7577105,"5.1",163,1.63e+08
"708","Virginia",2006,"427",7673725,"5.6",174,1.74e+08
"709","Virginia",2007,"520",7751000,"6.7",184,1.84e+08
"710","Virginia",2008,"501",7833496,"6.4",196,1.96e+08
"711","Virginia",2009,"492",7925937,"6.2",202,2.02e+08
"712","Virginia",2010,"400",8001024,"5",210,2.1e+08
"713","Virginia",2011,"582",8096604,"7.2",219,2.19e+08
"714","Virginia",2012,"547",8185867,"6.7",217,2.17e+08
"715","Virginia",2013,"651",8260405,"7.9",207,2.07e+08
"716","Virginia",2014,"775",8326289,"9.3",196,1.96e+08
"717","Washington",1999,"372",5842564,"6.4",116,1.16e+08
"718","Washington",2000,"374",5894121,"6.3",126,1.26e+08
"719","Washington",2001,"332",5985722,"5.5",138,1.38e+08
"720","Washington",2002,"474",6052349,"7.8",142,1.42e+08
"721","Washington",2003,"492",6104115,"8.1",149,1.49e+08
"722","Washington",2004,"606",6178645,"9.8",155,1.55e+08
"723","Washington",2005,"629",6257305,"10.1",163,1.63e+08
"724","Washington",2006,"689",6370753,"10.8",174,1.74e+08
"725","Washington",2007,"675",6461587,"10.4",184,1.84e+08
"726","Washington",2008,"712",6562231,"10.8",196,1.96e+08
"727","Washington",2009,"737",6667426,"11.1",202,2.02e+08
"728","Washington",2010,"648",6724540,"9.6",210,2.1e+08
"729","Washington",2011,"712",6830038,"10.4",219,2.19e+08
"730","Washington",2012,"717",6897012,"10.4",217,2.17e+08
"731","Washington",2013,"667",6971406,"9.6",207,2.07e+08
"732","Washington",2014,"692",7061530,"9.8",196,1.96e+08
"733","West Virginia",1999,"34",1811799,"1.9",116,1.16e+08
"734","West Virginia",2000,"52",1808344,"2.9",126,1.26e+08
"735","West Virginia",2001,"150",1801481,"8.3",138,1.38e+08
"736","West Virginia",2002,"183",1805414,"10.1",142,1.42e+08
"737","West Virginia",2003,"203",1812295,"11.2",149,1.49e+08
"738","West Virginia",2004,"273",1816438,"15",155,1.55e+08
"739","West Virginia",2005,"154",1820492,"8.5",163,1.63e+08
"740","West Virginia",2006,"299",1827912,"16.4",174,1.74e+08
"741","West Virginia",2007,"347",1834052,"18.9",184,1.84e+08
"742","West Virginia",2008,"387",1840310,"21",196,1.96e+08
"743","West Virginia",2009,"193",1847775,"10.4",202,2.02e+08
"744","West Virginia",2010,"495",1852994,"26.7",210,2.1e+08
"745","West Virginia",2011,"596",1855364,"32.1",219,2.19e+08
"746","West Virginia",2012,"513",1855413,"27.6",217,2.17e+08
"747","West Virginia",2013,"518",1854304,"27.9",207,2.07e+08
"748","West Virginia",2014,"585",1850326,"31.6",196,1.96e+08
"749","Wisconsin",1999,"85",5332666,"1.6",116,1.16e+08
"750","Wisconsin",2000,"117",5363675,"2.2",126,1.26e+08
"751","Wisconsin",2001,"143",5406835,"2.6",138,1.38e+08
"752","Wisconsin",2002,"173",5445162,"3.2",142,1.42e+08
"753","Wisconsin",2003,"203",5479203,"3.7",149,1.49e+08
"754","Wisconsin",2004,"226",5514026,"4.1",155,1.55e+08
"755","Wisconsin",2005,"281",5546166,"5.1",163,1.63e+08
"756","Wisconsin",2006,"352",5577655,"6.3",174,1.74e+08
"757","Wisconsin",2007,"390",5610775,"7",184,1.84e+08
"758","Wisconsin",2008,"380",5640996,"6.7",196,1.96e+08
"759","Wisconsin",2009,"406",5669264,"7.2",202,2.02e+08
"760","Wisconsin",2010,"420",5686986,"7.4",210,2.1e+08
"761","Wisconsin",2011,"484",5711767,"8.5",219,2.19e+08
"762","Wisconsin",2012,"496",5726398,"8.7",217,2.17e+08
"763","Wisconsin",2013,"604",5742713,"10.5",207,2.07e+08
"764","Wisconsin",2014,"640",5757564,"11.1",196,1.96e+08
"765","Wyoming",2007,"25",534876,"4.7",184,1.84e+08
"766","Wyoming",2008,"48",546043,"8.8",196,1.96e+08
"767","Wyoming",2009,"34",559851,"6.1",202,2.02e+08
"768","Wyoming",2010,"49",563626,"8.7",210,2.1e+08
"769","Wyoming",2011,"47",568158,"8.3",219,2.19e+08
"770","Wyoming",2012,"47",576412,"8.2",217,2.17e+08
"771","Wyoming",2013,"52",582658,"8.9",207,2.07e+08
"772","Wyoming",2014,"57",584153,"9.8",196,1.96e+08
